sunzen,elev,aot,wv,C_B2,C_B3,C_B4,C_B5,C_B6,C_B7,Ce_B2,Ce_B3,Ce_B4,Ce_B5,Ce_B6,Ce_B7,Edir_B2,Edir_B3,Edir_B4,Edir_B5,Edir_B6,Edir_B7,Edif_B2,Edif_B3,Edif_B4,Edif_B5,Edif_B6,Edif_B7,Eenv_B2,Eenv_B3,Eenv_B4,Eenv_B5,Eenv_B6,Eenv_B7,sec
52.5,250,0.05,1.0,0.23043,0.13718,0.09111,0.05181,0.01635,0.0121,0.28226,0.16626,0.10882,0.06048,0.01786,0.01282,801.224,823.482,760.858,549.509,116.727,43.22,184.624,112.963,69.32,28.469,1.909,0.523,41.528,23.948,13.48,4.768,0.176,0.031,2.08
55.0,250,0.05,1.0,0.24615,0.14573,0.09643,0.05464,0.01723,0.01278,0.29864,0.17503,0.11424,0.06334,0.01874,0.0135,738.222,763.157,708.942,514.344,109.544,40.519,181.714,111.213,68.366,28.105,1.887,0.518,38.748,22.361,12.621,4.475,0.166,0.029,2.124
57.5,250,0.05,1.0,0.26486,0.15579,0.10266,0.05793,0.01823,0.01354,0.31812,0.18535,0.12057,0.06666,0.01975,0.01426,673.708,701.21,655.532,478.142,102.149,37.738,178.435,109.244,67.299,27.701,1.862,0.511,35.888,20.727,11.736,4.173,0.155,0.027,2.165
60.0,250,0.05,1.0,0.28741,0.16779,0.11003,0.06181,0.0194,0.01445,0.34162,0.19766,0.12806,0.07057,0.02091,0.01516,607.931,637.832,600.765,440.984,94.557,34.884,174.723,107.023,66.105,27.256,1.834,0.504,32.958,19.049,10.826,3.863,0.143,0.025,2.182
62.5,250,0.05,1.0,0.31504,0.1823,0.11887,0.06641,0.02078,0.01549,0.37041,0.21254,0.13703,0.07521,0.0223,0.01621,541.18,573.242,544.789,402.959,86.785,31.965,170.496,104.502,64.758,26.76,1.803,0.495,29.965,17.333,9.895,3.545,0.132,0.023,2.209
65.0,250,0.05,1.0,0.34962,0.20017,0.12964,0.07197,0.02242,0.01673,0.40644,0.23087,0.14798,0.08082,0.02394,0.01746,473.797,507.69,487.77,364.159,78.852,28.986,165.648,101.624,63.236,26.209,1.768,0.485,26.92,15.584,8.943,3.221,0.12,0.021,2.237
67.5,250,0.05,1.0,0.39398,0.22267,0.14305,0.07882,0.0244,0.01822,0.45266,0.25394,0.1616,0.08772,0.02593,0.01895,406.204,441.478,429.899,324.688,70.777,25.957,160.037,98.304,61.498,25.593,1.727,0.473,23.834,13.806,7.975,2.89,0.108,0.019,2.294
70.0,250,0.05,1.0,0.45281,0.25184,0.16019,0.08748,0.02686,0.02006,0.51395,0.28386,0.17901,0.09645,0.0284,0.0208,338.931,374.983,371.403,284.658,62.581,22.885,153.472,94.435,59.495,24.901,1.681,0.459,20.723,12.007,6.991,2.554,0.096,0.017,2.27
72.5,250,0.05,1.0,0.53425,0.29108,0.18285,0.09874,0.03001,0.02234,0.59881,0.32411,0.20203,0.10781,0.03154,0.02305,272.68,308.695,312.566,244.201,54.286,19.781,145.679,89.855,57.152,24.113,1.629,0.442,17.604,10.195,5.997,2.214,0.083,0.014,2.28
75.0,250,0.05,1.0,0.65382,0.34661,0.21419,0.11403,0.03413,0.02534,0.7234,0.38106,0.23388,0.12322,0.03567,0.02606,208.417,243.295,253.766,203.475,45.918,16.656,136.267,84.328,54.354,23.203,1.567,0.422,14.501,8.382,4.996,1.87,0.071,0.012,2.329
