sunzen,elev,aot,wv,C_B2,C_B3,C_B4,C_B5,C_B6,C_B7,Ce_B2,Ce_B3,Ce_B4,Ce_B5,Ce_B6,Ce_B7,Edir_B2,Edir_B3,Edir_B4,Edir_B5,Edir_B6,Edir_B7,Edif_B2,Edif_B3,Edif_B4,Edif_B5,Edif_B6,Edif_B7,Eenv_B2,Eenv_B3,Eenv_B4,Eenv_B5,Eenv_B6,Eenv_B7,sec
45.0,0,0.2,4.0,0.44707,0.3128,0.23131,0.14055,0.05764,0.0429,0.52198,0.35993,0.26297,0.15747,0.06279,0.04554,764.968,805.781,764.181,551.094,151.157,48.551,341.993,252.049,176.766,77.458,8.713,2.083,57.305,37.976,24.192,9.321,0.778,0.128,1.846
47.5,0,0.2,4.0,0.47086,0.32791,0.24174,0.14643,0.06002,0.04475,0.547,0.37558,0.27366,0.16344,0.06518,0.04737,711.693,753.769,718.57,521.795,143.713,46.104,335.106,247.166,173.706,76.409,8.626,2.063,54.188,35.934,22.94,8.871,0.741,0.121,1.783
50.0,0,0.2,4.0,0.49863,0.34539,0.25372,0.15315,0.06273,0.04685,0.5762,0.39369,0.28595,0.17025,0.0679,0.04949,656.835,700.03,671.317,491.35,135.971,43.562,327.517,241.78,170.328,75.251,8.529,2.041,50.952,33.812,21.638,8.403,0.703,0.115,1.733
52.5,0,0.2,4.0,0.53135,0.36577,0.2676,0.16087,0.06582,0.04925,0.61061,0.4148,0.30019,0.17808,0.071,0.05189,600.646,644.771,622.571,459.831,127.948,40.931,319.154,235.837,166.6,73.973,8.421,2.016,47.609,31.616,20.289,7.916,0.663,0.108,1.866
55.0,0,0.2,4.0,0.57033,0.38978,0.28382,0.16981,0.06936,0.05199,0.65161,0.43967,0.31682,0.18716,0.07456,0.05464,543.417,588.224,572.498,427.317,119.661,38.217,309.929,229.276,162.484,72.563,8.3,1.987,44.166,29.351,18.895,7.413,0.622,0.101,1.956
57.5,0,0.2,4.0,0.61742,0.41839,0.30297,0.18027,0.07346,0.05518,0.70112,0.46932,0.33646,0.19777,0.07868,0.05784,485.477,530.652,521.283,393.891,111.128,35.427,299.741,222.021,157.931,71.005,8.164,1.955,40.638,27.025,17.461,6.894,0.58,0.094,1.841
60.0,0,0.2,4.0,0.67524,0.45301,0.32589,0.19264,0.07827,0.05889,0.76193,0.50519,0.35998,0.21033,0.08351,0.06157,427.213,472.362,469.14,359.646,102.368,32.567,288.47,213.987,152.89,69.284,8.012,1.918,37.036,24.645,15.99,6.361,0.537,0.087,1.873
62.5,0,0.2,4.0,0.74773,0.49566,0.35379,0.2075,0.08394,0.06321,0.83816,0.54937,0.38859,0.22541,0.0892,0.06588,369.079,413.716,416.314,324.685,93.403,29.646,275.97,205.063,147.288,67.373,7.84,1.874,33.379,22.22,14.487,5.814,0.492,0.079,1.893
65.0,0,0.2,4.0,0.84098,0.54941,0.38845,0.22568,0.09075,0.06842,0.93623,0.60505,0.42414,0.24386,0.09605,0.07112,311.62,355.147,363.101,289.126,84.254,26.672,262.065,195.121,141.047,65.25,7.646,1.825,29.684,19.761,12.958,5.255,0.447,0.072,1.93
67.5,0,0.2,4.0,0.96492,0.61909,0.43262,0.2484,0.09907,0.0747,1.06658,0.67724,0.46944,0.26692,0.10442,0.0774,255.502,297.193,309.863,253.108,74.947,23.656,246.538,183.99,134.052,62.873,7.425,1.767,25.975,17.282,11.409,4.686,0.401,0.064,1.957
70.0,0,0.2,4.0,1.1368,0.71286,0.49081,0.27766,0.10948,0.0824,1.24735,0.77438,0.52913,0.29661,0.11488,0.08512,201.55,240.527,257.057,216.802,65.509,20.607,229.123,171.462,126.167,60.198,7.172,1.698,22.281,14.798,9.849,4.108,0.354,0.056,1.958
72.5,0,0.2,4.0,1.38907,0.84532,0.57086,0.31674,0.1229,0.09225,1.51267,0.91162,0.61123,0.33627,0.12837,0.09498,150.807,186.028,205.285,180.426,55.973,17.54,209.482,157.253,117.19,57.149,6.879,1.618,18.639,12.333,8.287,3.523,0.306,0.048,1.963
