sunzen,elev,aot,wv,C_B2,C_B3,C_B4,C_B5,C_B6,C_B7,Ce_B2,Ce_B3,Ce_B4,Ce_B5,Ce_B6,Ce_B7,Edir_B2,Edir_B3,Edir_B4,Edir_B5,Edir_B6,Edir_B7,Edif_B2,Edif_B3,Edif_B4,Edif_B5,Edif_B6,Edif_B7,Eenv_B2,Eenv_B3,Eenv_B4,Eenv_B5,Eenv_B6,Eenv_B7,sec
47.5,3500,0.1,3.0,0.24032,0.16558,0.11886,0.07833,0.02893,0.02223,0.28521,0.19328,0.1366,0.08869,0.03141,0.02363,910.717,915.374,831.922,608.487,140.53,49.22,218.859,151.568,98.881,47.662,4.066,1.094,40.888,25.353,14.759,6.306,0.348,0.069,1.786
50.0,3500,0.1,3.0,0.25312,0.17375,0.1244,0.08181,0.03022,0.02326,0.29848,0.20164,0.14222,0.0922,0.03269,0.02465,851.339,858.731,783.607,575.275,133.31,46.648,215.494,149.205,97.477,47.061,4.028,1.085,38.614,23.951,13.97,5.981,0.33,0.065,1.875
52.5,3500,0.1,3.0,0.26802,0.18319,0.13075,0.08578,0.03168,0.02444,0.31392,0.2113,0.14868,0.09622,0.03416,0.02585,790.059,800.175,733.588,540.86,125.823,43.982,211.755,146.582,95.92,46.396,3.986,1.075,36.259,22.498,13.152,5.644,0.312,0.062,1.86
55.0,3500,0.1,3.0,0.28552,0.19418,0.13812,0.09036,0.03336,0.02578,0.33204,0.22255,0.15616,0.10084,0.03584,0.02719,727.08,739.875,681.99,505.319,118.085,41.229,207.594,143.666,94.194,45.663,3.939,1.063,33.826,20.996,12.306,5.295,0.293,0.058,1.847
57.5,3500,0.1,3.0,0.30628,0.2071,0.14672,0.09569,0.0353,0.02735,0.35355,0.23579,0.1649,0.10622,0.03779,0.02875,662.628,678.015,628.943,468.731,110.111,38.394,202.951,140.416,92.277,44.852,3.887,1.05,31.323,19.45,11.434,4.936,0.274,0.054,1.938
60.0,3500,0.1,3.0,0.33127,0.22249,0.15688,0.10195,0.03755,0.02917,0.37944,0.25155,0.17522,0.11254,0.04004,0.03058,596.962,614.804,574.595,431.181,101.918,35.483,197.758,136.789,90.145,43.958,3.827,1.035,28.756,17.862,10.538,4.566,0.254,0.05,1.953
62.5,3500,0.1,3.0,0.36186,0.2411,0.16907,0.10939,0.0402,0.03129,0.41113,0.2706,0.1876,0.12005,0.04271,0.0327,530.383,550.48,519.108,392.761,93.523,32.504,191.922,132.721,87.765,42.965,3.76,1.017,26.133,16.237,9.62,4.187,0.234,0.046,1.979
65.0,3500,0.1,3.0,0.40007,0.26403,0.18394,0.11841,0.04338,0.03381,0.45072,0.29408,0.2027,0.12915,0.04589,0.03523,463.252,485.324,462.665,353.57,84.944,29.463,185.334,128.141,85.101,41.865,3.685,0.996,23.464,14.581,8.683,3.8,0.213,0.042,1.99
67.5,3500,0.1,3.0,0.44909,0.29296,0.20246,0.12953,0.04723,0.03686,0.5015,0.32369,0.22152,0.14038,0.04975,0.03827,396.007,419.674,405.483,313.72,76.201,26.368,177.842,122.947,82.096,40.636,3.599,0.972,20.757,12.898,7.728,3.405,0.192,0.037,2.002
70.0,3500,0.1,3.0,0.51412,0.33058,0.22622,0.14363,0.05201,0.0406,0.56888,0.36221,0.24566,0.15461,0.05454,0.04202,329.209,353.958,347.826,273.338,67.312,23.227,169.254,117.011,78.686,39.259,3.501,0.943,18.028,11.196,6.76,3.003,0.17,0.033,2.048
