sunzen,elev,aot,wv,C_B2,C_B3,C_B4,C_B5,C_B6,C_B7,Ce_B2,Ce_B3,Ce_B4,Ce_B5,Ce_B6,Ce_B7,Edir_B2,Edir_B3,Edir_B4,Edir_B5,Edir_B6,Edir_B7,Edif_B2,Edif_B3,Edif_B4,Edif_B5,Edif_B6,Edif_B7,Eenv_B2,Eenv_B3,Eenv_B4,Eenv_B5,Eenv_B6,Eenv_B7,sec
35.0,500,0.1,2.0,0.23253,0.15536,0.11076,0.06447,0.02538,0.01856,0.28815,0.1891,0.13233,0.07503,0.02822,0.01995,1114.539,1131.087,1038.086,706.987,184.457,60.501,259.165,175.725,114.974,45.579,4.681,1.123,61.986,38.163,22.394,7.465,0.524,0.084,1.443
37.5,500,0.1,2.0,0.24058,0.16035,0.11412,0.06632,0.02611,0.01912,0.29655,0.19423,0.13576,0.0769,0.02895,0.02051,1067.524,1086.168,999.37,682.678,178.333,58.46,256.82,174.163,114.052,45.276,4.656,1.118,59.756,36.806,21.624,7.221,0.507,0.081,1.483
40.0,500,0.1,2.0,0.24974,0.166,0.11793,0.0684,0.02694,0.01975,0.30613,0.20005,0.13964,0.079,0.02978,0.02114,1017.913,1038.712,958.431,656.954,171.851,56.302,254.215,172.425,113.026,44.938,4.629,1.112,57.398,35.37,20.809,6.962,0.489,0.078,1.526
42.5,500,0.1,2.0,0.26021,0.17242,0.12223,0.07075,0.02787,0.02047,0.31707,0.20666,0.14403,0.08137,0.03072,0.02186,965.839,988.834,915.358,629.865,165.026,54.029,251.323,170.497,111.888,44.565,4.599,1.106,54.916,33.858,19.95,6.69,0.47,0.075,1.571
45.0,500,0.1,2.0,0.27222,0.17974,0.12712,0.07341,0.02891,0.02128,0.32962,0.21419,0.14901,0.08405,0.03176,0.02267,911.456,936.662,870.25,601.466,157.87,51.646,248.115,168.356,110.625,44.151,4.564,1.099,52.315,32.272,19.049,6.404,0.45,0.072,1.67
47.5,500,0.1,2.0,0.28606,0.18812,0.13268,0.07641,0.03009,0.02219,0.34407,0.22282,0.15468,0.08709,0.03295,0.02358,854.925,882.332,823.208,571.812,150.397,49.16,244.556,165.982,109.226,43.693,4.526,1.091,49.602,30.616,18.108,6.105,0.429,0.068,1.643
50.0,500,0.1,2.0,0.3021,0.19776,0.13905,0.07983,0.03143,0.02323,0.36084,0.23274,0.16117,0.09054,0.03429,0.02463,796.43,825.993,774.345,540.966,142.623,46.574,240.605,163.346,107.674,43.187,4.483,1.082,46.782,28.894,17.129,5.794,0.407,0.065,1.763
52.5,500,0.1,2.0,0.32086,0.20893,0.14639,0.08375,0.03297,0.0244,0.38045,0.24424,0.16865,0.0945,0.03583,0.02579,736.171,767.808,723.781,508.989,134.563,43.895,236.211,160.418,105.952,42.628,4.436,1.071,43.863,27.11,16.113,5.471,0.385,0.061,1.751
55.0,500,0.1,2.0,0.34301,0.22199,0.1549,0.08827,0.03471,0.02575,0.40359,0.25768,0.17733,0.09906,0.03758,0.02713,674.376,707.959,671.645,475.949,126.234,41.128,231.317,157.158,104.04,42.01,4.382,1.059,40.852,25.268,15.063,5.138,0.362,0.057,1.765
57.5,500,0.1,2.0,0.36946,0.23741,0.16488,0.09352,0.03674,0.0273,0.43123,0.27355,0.1875,0.10436,0.03961,0.02871,611.3,646.646,618.08,441.916,117.652,38.279,225.852,153.521,101.912,41.327,4.322,1.045,37.758,23.371,13.981,4.793,0.338,0.054,1.788
60.0,500,0.1,2.0,0.40152,0.25587,0.17673,0.09969,0.0391,0.0291,0.46472,0.29255,0.19957,0.1106,0.04197,0.03052,547.24,584.101,563.244,406.966,108.836,35.355,219.727,149.454,99.54,40.572,4.255,1.029,34.589,21.426,12.869,4.439,0.313,0.05,1.818
62.5,500,0.1,2.0,0.44107,0.2783,0.19097,0.10705,0.04187,0.03124,0.50605,0.31564,0.2141,0.11803,0.04476,0.03263,482.545,520.588,507.314,371.177,99.804,32.362,212.834,144.882,96.884,39.734,4.179,1.011,31.358,19.438,11.731,4.076,0.288,0.045,1.817
65.0,500,0.1,2.0,0.49095,0.30612,0.20844,0.11596,0.0452,0.03378,0.55818,0.34427,0.2319,0.12703,0.04809,0.03518,417.63,456.422,450.493,334.638,90.577,29.309,205.035,139.72,93.9,38.805,4.094,0.99,28.076,17.414,10.57,3.704,0.262,0.041,1.864
